"category","title","paper_ids","years","venues","tags","representative_scope_note","representative_gap_note","retrieved_via","source_runs"
"核心：量子路由","The ALF (Algorithms for Lattice Fermions) project release 2.4. Documentation for the auxiliary-field quantum Monte Carlo code","openalex:W4416760535","2025-11","SciPost Physics Codebases","outside_taxonomy","Providing a reusable auxiliary-field quantum Monte Carlo codebase across lattice-fermion models.","The software documentation is unrelated to entanglement routing and executes no relevant network-control mechanism.","openalex","negative-progress-prefix-drl"
"核心：量子路由","The pace of pastoral mobility: Exploring adaptations to climate and socio-economic change in Western India","openalex:W4408704108","2025-03","Environment and Planning E","outside_taxonomy","Studies pastoral mobility.","Unrelated to quantum-network routing.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","Traffic-Aware Initial Shared State for Proactive Entanglement Routing in Quantum Networks","openalex:W4414539215","2025-06","openalex","reframe_as_solvable_object; structural_prior_encoding","Pre-establishes a shared entanglement state that can support possible traffic requests.","Proactive resource design does not certify deadlock-free incremental execution once multiple requests acquire finite memories.","openalex","logical-memory-deadlock-drl_2"
"核心：量子路由","Tripartite Quantum Entanglement with Squeezed Optomechanics","openalex:W4401340383","2024-01","Laser & Photonics Review","outside_taxonomy","physical tripartite entanglement generation","not routing","openalex","quantum-routing-scenario-gap_2"
"核心：量子路由","Two-Stage Deep Q Learning Routing in Entanglement Networks","openalex:W7123830407","2025-07","","decompose_and_delegate; reframe_as_solvable_object","Route, request-scheduling, swapping, and distillation choices create a coupled action space.","Cross-topology generalization, sample efficiency, and robustness to realistic noise remain unclear.","openalex","atomic-batch-quantum-routing"
"核心：量子路由","VBGP: Flexible Multipath Selection for the Inter-Domain Routing Evolution","semanticscholar:5f298406e9d56b45545f23c97876b748cbf1ed26","2026-01","IEEE Transactions on Networking","assumption_audit_and_pivot; reframe_as_solvable_object","partial deployment and multipath negotiation in BGP","off-core; no entanglement-generation workflow or memory expiry","semanticscholar","quantum-routing-scenario-gap_2"
"核心：量子路由","ZBR: Zone-based routing in quantum networks with efficient entanglement distribution","openalex:W4408250979","2025-01; 2025-03","Journal of Network and Computer Applications","`outside_taxonomy`; decompose_and_delegate; heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","The title indicates scalable routing and efficient entanglement distribution through zone organization.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","logical-memory-deadlock-drl_2; quantum-network-routing-innovation; quantum-routing-scenario-gap_2; single-teleportation-routing-gap-audit_3; teleportation-routing-rollback-gap"
"邻近：量子调度/内存/资源","A Connection-Oriented Entanglement Distribution Design in Quantum Networks","doi:10.1109/TQE.2022.3176375; openalex:W4293146273","2022-01; 2022-05","IEEE TQE; IEEE Transactions on Quantum Engineering","reframe_as_solvable_object; structural_prior_encoding","Reserves resources along connections to provide predictable entanglement distribution.","Full reservation is deadlock-safe but can block request sets that are executable by a safe interleaving; the missing object is partial-allocation safety between full reservation and greedy overcommitment.","openalex; user_ref","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; request-salvage-routing"
"邻近：量子调度/内存/资源","A Modular Quantum Network Architecture for Integrating Network Scheduling with Local Program Execution","openalex:W4415482037; semanticscholar:cd9063a6b8fb7daf465a5690c6e2dcff214127dc","2025-01; 2025-03","IEEE Transactions on Quantum Engineering; OpenAlex","decompose_and_delegate; reframe_as_solvable_object; structural_prior_encoding; unify_into_shared_representation","Coordinating application-driven entanglement schedules with local quantum-program execution before memories expire.","Evaluation is a simulated six-node star; admission control, decentralized recovery, heterogeneous hardware, and real-node validation remain.","openalex; semanticscholar","negative-progress-prefix-drl; teleportation-purification-bundle-gap"
"邻近：量子调度/内存/资源","A Nonblocking Multistage Switching Network for Distributed Quantum Computing","semanticscholar:95042a74c666cbd8f7da74c38a9897fccb1a90cf","2025-08","IEEE Transactions on Networking","architectural_operator_substitution; structural_prior_encoding","Avoiding low entanglement rates and blocking in direct QPU interconnects with poor photon coupling.","Simulation and analytical success probabilities do not cover physical noise, memory limits, controller overhead, or hardware demonstration.","semanticscholar","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","A quantum-network register assembled with optical tweezers in an optical cavity","semanticscholar:d475f3d2cd1c2d8aabcc3ab5eb3eda673fbbc611","2024-07","Science","architectural_operator_substitution; heterogeneous_decomposition","Scaling deterministic matter-photon registers without losing high-efficiency communication-qubit access.","A local register is demonstrated; remote-register entanglement, distributed gates, error correction, and larger arrays remain unproven.","semanticscholar","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","A Strategy for Rapid Synthesis of Carbon Nanodots with Reversible Photoluminescence Switching for Sensitive Dynamic Anti‐Counterfeiting","semanticscholar:549c37c6888d756a18f6b8bf169272d51b05bddc","2024-06","Advanced Optical Materials","`outside_taxonomy`","Carbon nanodots need rapid synthesis together with bright, reversible, and useful fluorescence switching for sensing and anti-counterfeiting.","Long-cycle durability, environmental stability, adversarial security, toxicity, and manufacturing reproducibility are not established.","semanticscholar","teleportation-routing-rollback-gap"
"邻近：量子调度/内存/资源","An Analysis of the Coordination Gap between Joint and Modular Learning for Job Shop Scheduling with Transportation Resources","arxiv:2604.24117v2","2026-04","arXiv","assumption_audit_and_pivot; controlled_diagnostic_design","Determining when joint rather than modular multi-agent training is needed under transport and processing resource scarcity.","Sensitivity findings are domain-specific and provide no transfer mechanism to quantum-network scheduling or dynamically coupled memories.","arxiv","purification-memory-routing-audit"
"邻近：量子调度/内存/资源","Approximately Optimal Toll Design for Efficiency and Equity in Arc-Based Traffic Assignment Models","semanticscholar:8edebfd5f5b9abc083bb5ba42e059658de39b464","2025-09","arXiv","heterogeneous_decomposition; reframe_as_solvable_object; relax_discrete_search_to_continuous","off-core analogue: congestion-minimizing tolls can be efficient but inequitable, and bilevel toll design is computationally intractable.","The polytope approximation assumes classical flow responses and does not address stochastic consumable resources or deadline-dependent quantum utility.","semanticscholar","quantum-network-routing-innovation"
"邻近：量子调度/内存/资源","Arithmetic Gradient Optimized Deep Residual Path Planning for UAVs","openalex:W4411356335","2025-06","TETT","outside_taxonomy","Learns UAV paths.","Unrelated to consumable quantum resources.","openalex","single-teleportation-routing-gap-audit_3"
"邻近：量子调度/内存/资源","Artificial intelligence, machine learning, and deep learning in cloud, edge, and quantum computing: A review of trends, challenges, and future directions","openalex:W4403650610","2024-10","","outside_taxonomy","Latency, resource, privacy, and hardware-error trade-offs span incompatible compute tiers.","The review supplies no unified, empirically validated orchestration mechanism.","openalex","atomic-batch-quantum-routing"
"邻近：量子调度/内存/资源","Bound on Entanglement in Neural Quantum States.","semanticscholar:2b12336278c39e2a4b2af998e706d4dbbdbff8e0","2025-10","Physical Review Letters","outside_taxonomy","Bounding the entanglement expressivity of feed-forward neural quantum states.","The result concerns many-body ansatz expressivity rather than quantum-network control, and its assumptions exclude broader NQS families.","semanticscholar","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","Calculating the Capacity Region of a Quantum Switch","openalex:W4406262057","2024-09","OpenAlex","characterize_limit_then_surpass; reframe_as_solvable_object","Capacity regions for mixed-partite quantum switches need tractable characterization.","Capacity boundaries do not reveal transient partial-bundle fragmentation or FIFO hold-and-wait states.","openalex","teleportation-purification-bundle-gap"
"邻近：量子调度/内存/资源","Energy-time and time-bin entanglement: past, present and future","openalex:W4412782458","2025-07","npj Quantum Information","`outside_taxonomy`","The review surveys how energy-time and time-bin entanglement can support robust certification and communication.","Device-independent certification, loss tolerance, source quality, and integration into large quantum networks remain future challenges rather than resolved contributions of the review.","openalex","teleportation-routing-rollback-gap"
"邻近：量子调度/内存/资源","Entanglement Request Scheduling in Quantum Networks Using Deep Q-Network","openalex:W4414539058","2025-06","IEEE ICC","reframe_as_solvable_object","Adds pending/dropping request behavior and learns delay/fairness scheduling.","Schedules which request enters a slot but does not model live pair lineage or salvage after a dropped request.","openalex","request-salvage-routing"
"邻近：量子调度/内存/资源","Entanglement transference and non-inertial quantum reference frames","arxiv:2603.23601v2","2026-03","arXiv","`algebraic_equivalence_unification`; outside_taxonomy","Global quantum resources lack a clear relation to perspectival entanglement in quantum reference frames.","The result gives sufficient conditions only; operational detection, necessary conditions, multipartite systems, and interacting-field generalization remain open.","arxiv","request-salvage-routing; teleportation-routing-rollback-gap"
"邻近：量子调度/内存/资源","Entanglement-assisted non-local optical interferometry in a quantum network","semanticscholar:6b4d9145f49d617a1822b49f2e7232eb575ea7e0","2025-09","Nature","architectural_operator_substitution; structural_prior_encoding","Overcoming quantum noise, photon loss, and which-path leakage in low-light non-local phase sensing.","The 1.55 km proof of concept leaves rate, loss tolerance, memory lifetime, and imaging-scale operation unresolved.","semanticscholar","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","Hierarchical memories: Simulating quantum LDPC codes with local gates","openalex:W4410078271","2025-05","Quantum","outside_taxonomy","Constructs fault-tolerant quantum memories under geometric-locality constraints.","The work concerns quantum-code architecture rather than logical entanglement-swap execution or network resource lifecycles.","openalex","logical-swap-execution-gap_2"
"邻近：量子调度/内存/资源","Hybrid Quantum-Classical Neural Networks for Downlink Beamforming Optimization","openalex:W4401687189","2024-08","IEEE Transactions on Wireless Communications","architectural_operator_substitution; outside_taxonomy","Retaining beamforming quality with fewer trainable parameters under NISQ noise.","Scalable real-hardware quantum advantage, end-to-end latency, and training overhead are not demonstrated.","openalex","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2"
"邻近：量子调度/内存/资源","Networked Quantum Services†","openalex:W4411702022","2025-05","OpenAlex; Quantum Information and Computation","outside_taxonomy; reframe_as_solvable_object; structural_prior_encoding","Reviews technologies, platforms, applications, and implementation challenges for networked quantum services.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; purification-memory-routing-audit; single-teleportation-routing-gap-audit_3; teleportation-purification-bundle-gap"
"邻近：量子调度/内存/资源","Optimal resource requirements for connected quantum sub-networks","openalex:W4407806762","2025-02","arXiv","characterize_limit_then_surpass; reframe_as_solvable_object","Derives resource thresholds for interconnected quantum sub-networks.","Aggregate threshold analysis does not expose per-request event execution, but adding such execution alone risks standard scheduling.","openalex","single-teleportation-routing-gap-audit_3"
"邻近：量子调度/内存/资源","Optimizing SPHINCS+ for Low-Power Devices","openalex:W4413811488","2025-08","Electronics","outside_taxonomy","Reducing SPHINCS+ energy, memory, and latency on low-power FPGA devices.","This cryptographic-hardware optimization is unrelated to quantum-network entanglement control.","openalex","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","Quantum Circuit Switching with One-Way Repeaters in Star Networks","semanticscholar:ee3b7f4411da43e48d6dc58317067b1a688856b9","2024-05","International Conference on Quantum Computing and Engineering","`reframe_as_solvable_object`","Finite repeater processing capacity creates a sequential-versus-parallel forwarding trade-off for circuit-switched quantum-state requests.","Results are tied to a star topology and modeled service process; adaptive hybrid batching, heterogeneous paths, errors, and recovery from interrupted circuits remain open.","semanticscholar","teleportation-routing-rollback-gap"
"邻近：量子调度/内存/资源","Quantum Communication Networks Enhanced by Distributed Quantum Memories","openalex:W4417322408","2025-12","OpenAlex","architectural_operator_substitution; reframe_as_solvable_object","Distributed memories plus distillation and relay can improve network connectivity.","Graph-merging abstraction does not specify online request-level bundle reservation and release.","openalex","teleportation-purification-bundle-gap"
"邻近：量子调度/内存/资源","Quantum-Enhanced Federated Learning for Metaverse-Empowered Vehicular Networks","openalex:W4404563375","2024-11","IEEE Transactions on Communications","decompose_and_delegate; heterogeneous_decomposition","Communication cost, memory pressure, and contextual heterogeneity in dynamic vehicular federated learning.","Real-network quantum benefit, privacy, straggler tolerance, and nonstationary robustness are unvalidated.","openalex","atomic-batch-quantum-routing"
"邻近：量子调度/内存/资源","Quantum-network nodes with real-time noise mitigation using spectator qubits","semanticscholar:04e3efc1a3fd7a16ebebfb770673a6f0a96cc3ab","2025-05","PRX Quantum","architectural_operator_substitution; heterogeneous_decomposition","Mitigating memory dephasing during repeated remote-entanglement attempts without measuring the stored state.","A single-NV-node experiment covers dephasing only; correlated noise, multi-node control, overhead, and scalability remain open.","semanticscholar","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","Reinforcement learning and the Metaverse: a symbiotic collaboration","openalex:W7114780943","2025-12","Artificial Intelligence Review","outside_taxonomy","Synthesizing how reinforcement learning is used across Metaverse applications.","This broad review executes no quantum-network mechanism and leaves deployment, transfer, and safety issues open.","openalex","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","Robust self-supervised denoising of voltage imaging data using CellMincer","openalex:W4404997032","2024-12","npj Imaging","outside_taxonomy","Denoising low-SNR voltage-imaging data without clean labels.","The imaging-specific method does not address quantum-network control; robustness across instruments and biological regimes remains open.","openalex","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","Scheduling Entanglement Flows in Multi-channel Quantum Networks","arxiv:2605.04767v1","2026-05","arXiv","decompose_and_delegate; reframe_as_solvable_object","Queuing, retry, and channel/processor allocation for requests.","Does not model live intermediate-pair lineage or reclaiming resources when a request expires.","arxiv","request-salvage-routing"
"邻近：量子调度/内存/资源","Smart Road Allocation through Auction-Based Mechanisms for Congestion Prevention","semanticscholar:466dc05fe9ca627bbff54d0f77549f358000e3ef","2026","ICAART","heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","off-core analogue: independent route choices cause congestion; complete space-time routes must be allocated jointly while respecting urgency and capacity.","Auction truthfulness and transferable money do not directly apply to quantum requests, and stochastic EPR survival after allocation is unmodeled.","semanticscholar","quantum-network-routing-innovation"
"邻近：量子调度/内存/资源","The Universe Does Not Expand Equally - And Here Is the Second Round with the Black Hole","openalex:W4410632739","2025-05","","outside_taxonomy","Explaining anisotropic cosmic expansion through an information-completeness field.","The speculative framework lacks demonstrated empirical validation and is unrelated to quantum-network control.","openalex","negative-progress-prefix-drl"
"邻近：量子调度/内存/资源","Tierkreis: A Dataflow Framework for Hybrid Quantum-Classical Computing","arxiv:2211.02350v1","2022-11","arXiv","reframe_as_solvable_object; structural_prior_encoding","typed asynchronous dataflow execution for long-running hybrid quantum-classical workflows","orchestrates computation but does not allocate entanglement paths or perishable quantum-network resources","user_ref","quantum-routing-scenario-gap_2"
"邻近：量子调度/内存/资源","Topology Design with Resource Allocation and Entanglement Distribution for Quantum Networks","openalex:W4408898015","2024-12","IEEE SECON; openalex","reframe_as_solvable_object; structural_prior_encoding","Jointly designs physical topology and aggregate entanglement-resource allocation.","Offline flow/path allocation does not specify online pair reclamation after the live entanglement graph occupies finite endpoint memories.","openalex","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2"
"邻近：量子调度/内存/资源","Tunable Generation of Spatial Entanglement in Nonlinear Waveguide Arrays","openalex:W4404913442","2024-12","Physical Review Letters","`architectural_operator_substitution`; br>`generative_process_redesign`","Discrete multicomponent optics limits compact, reconfigurable generation of high-dimensional path-entangled photons.","Scaling to larger dimensions under fabrication disorder, loss, source indistinguishability, and network-level interfacing is not established.","openalex","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","A Quantum Routing Model and Protocol Suitable for User Private Networks","semanticscholar:22900560a51bffcc98e5082e537b44163432d503","2025-01","IEEE CCAI","reframe_as_solvable_object; structural_prior_encoding","wide-area QKD private-network inter-domain management","assumes static key-transmission requests, not adaptive DQC entanglement jobs","semanticscholar","quantum-routing-scenario-gap_2"
"边界资料：纯化/物理/应用","A thin film lithium niobate near-infrared platform for multiplexing quantum nodes","openalex:W4404932601","2024-12","Nature Communications","`architectural_operator_substitution`","Discrete photonic control circuits do not scale cleanly to multi-memory quantum nodes requiring low loss, switching, and fast modulation.","A complete memory-coupled node, cryogenic compatibility, accumulated system loss, and end-to-end multiplexed entanglement-rate gains remain to be demonstrated.","openalex","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Adaptive Entanglement Routing with Deep Q-Networks in Quantum Networks","arxiv:2503.02895v1","2025-03","arXiv","adapt_via_conditioning; reframe_as_solvable_object","application-aware adaptive resource allocation with fidelity, capacity, and demand features","application demand is still an exogenous request vector, not a conditional execution DAG","user_ref","quantum-routing-scenario-gap_2"
"边界资料：纯化/物理/应用","Adaptive Quantum Routing under Dynamic Topological Constraints","semanticscholar:79483895dbca7f7b4559922ed86576a7d54849f4","2026-02","International Journal of Quantum Information","`reframe_as_solvable_object`","Static routing cannot track stochastic link availability and fidelity while balancing latency and quantum-resource use.","Simulation does not establish safe online learning under partial observability, distribution shift, or hardware noise, nor consistent recovery after route switching or failure.","semanticscholar","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","AEPA: Adaptive Entanglement Pre-Allocation for Low-Latency Quantum Repeater Networks","semanticscholar:144ba42abc7a94de287861fb785264c5ce8143cb","2026-05","IEEE Conference on Computer Communications","`assumption_audit_and_pivot`; br>`generative_process_redesign`; br>`reframe_as_solvable_object`","Pure on-demand generation causes latency, but indiscriminate pre-generation wastes memory and loses fidelity through expiry.","Robustness to nonstationary or adversarial traffic, purification failures, inaccurate TTL models, and rollback of stale pre-allocations is unresolved.","semanticscholar","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","AlphaRouter: Quantum Circuit Routing with Reinforcement Learning and Tree Search","openalex:W4406261986","2024-09","openalex","decompose_and_delegate; outside_taxonomy; reframe_as_solvable_object","Reducing NP-hard quantum-circuit routing overhead without biased handcrafted cost functions.","Results do not establish scaling, transfer across changing hardware graphs, noise-aware fidelity, or robustness.","openalex","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Artificial intelligence: new uses and impacts on military command and control","semanticscholar:ea7fbe338b3c3646cbdcba7269a7425b93a3280d","2024","Armenian Army","outside_taxonomy","Broad AI survey.","Irrelevant to quantum purification memory.","semanticscholar","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Artificially intelligent Maxwell's demon for optimal control of open quantum systems","openalex:W4402705375","2024-08","arXiv","outside_taxonomy","Feedback control of open quantum systems.","Uses measurement/control physics, outside the requested scope.","openalex","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Asynchronous Routing for Multipartite Entanglement in Quantum Networks","arxiv:2603.27551v1","2026-03","arXiv","`assumption_audit_and_pivot`; assumption_audit_and_pivot; br>`generative_process_redesign`; generative_process_redesign; reframe_as_solvable_object; structural_prior_encoding","Synchronous, bipartite-focused routing wastes surviving entanglement and poorly serves multipartite GHZ requests.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv","logical-memory-deadlock-drl_2; quantum-routing-scenario-gap_2; request-salvage-routing; single-teleportation-routing-gap-audit_3; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Automatic Protection Switching in an Entanglement-Based Quantum Network","semanticscholar:885ee153ba35a472bbe76d86fc481ca87635846b","2025-05","Conference on Lasers and Electro-Optics","reframe_as_solvable_object","Maintaining multihop entanglement delivery when deployed fiber links are disrupted.","The six-node demonstration leaves recovery latency, simultaneous failures, fidelity impact, and larger-topology scaling untested.","semanticscholar","negative-progress-prefix-drl"
"边界资料：纯化/物理/应用","Bridging Superconducting and Neutral-Atom Platforms for Efficient Fault-Tolerant Quantum Architectures","openalex:W7124513325","2026-01","arXiv","outside_taxonomy","Heterogeneous hardware architecture.","Physical architecture, not logical purification execution.","openalex","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Dimensioning of Quantum Memories for Distilled Quantum EPR Packets","arxiv:2604.13964v1","2026-04","arXiv","`reframe_as_solvable_object`; outside_taxonomy; reframe_as_solvable_object","Quantum-memory capacity must be sized against stochastic fidelity evolution so distilled, encoded EPR packets remain available.","The Markov model needs hardware calibration and extension to non-Markovian noise, bursty traffic, coupled purification/routing, and failure recovery.","arxiv","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Distributed Quantum Routing with Fidelity Assurance in Memory-Free Networks","openalex:W4410228121","2025-03","WCNC","assumption_audit_and_pivot; heterogeneous_decomposition; reframe_as_solvable_object","Practical quantum memories cannot simultaneously satisfy fidelity, duration, bandwidth, capacity, and efficiency requirements.","The memory-free queueing formulation excludes the perishable stored-resource decisions central to repeater networks and does not model congestion externalities across requests.","openalex","quantum-network-routing-innovation"
"边界资料：纯化/物理/应用","DRM-ETP: A Dynamic Rate Matching-Based Entanglement Transport Protocol in Quantum Networks","semanticscholar:f71125b7f734d2d1f3c43d3b8f0f901f4000e536","2025-04","IEEE Transactions on Networking","`assumption_audit_and_pivot`; br>`generative_process_redesign`; br>`heterogeneous_decomposition`","Global synchronized slots and uniform per-link allocation fail under heterogeneous generation rates, memories, and bursty requests.","Periodic feedback may be stale or costly at scale; behavior under lost control messages, decoherence, topology change, and partial-allocation rollback remains open.","semanticscholar","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Dynamic Entanglement Routing Based on Stream Processing for Quantum Networks","openalex:W4403936630","2024-10","IEEE Transactions on Networking","adapt_via_conditioning; heterogeneous_decomposition; reframe_as_solvable_object","Batch route computation is too slow and may create unused connections when requests arrive as a stream.","Stream-wise routing remains myopic to how current reservations change the success prospects and fairness of future requests under decoherence.","openalex","quantum-network-routing-innovation"
"边界资料：纯化/物理/应用","Dynamic RIS-Assisted THz Quantum Networks: Joint Optimization of Entanglement Generation and Fidelity under Channel Impairments","semanticscholar:4bb805326b8a1bc387dd9dd9606568130cc490ce","2025-09","Measurement: Digitalization","`heterogeneous_decomposition`; br>`reframe_as_solvable_object`","Severe THz loss and varying SNR require joint RIS-mode, placement, entanglement-rate, fidelity, security, and fairness control.","Hardware feasibility and quantum-consistent RIS behavior are unvalidated; switching overhead, control delay, and the identified side-channel leakage remain open.","semanticscholar","teleportation-routing-rollback-gap"
"边界资料：纯化/物理/应用","Dynamic Scheduling in Fiber and Spaceborne Quantum Repeater Networks","openalex:W4414979621","2025-10","arXiv; arXiv (Cornell University)","decompose_and_delegate; heterogeneous_decomposition; reframe_as_solvable_object","Choosing swapping schedules and memory allocations for lossy fiber and satellite quantum networks under demand and latency constraints.","Quadratic/linear policy classes and satellite models do not expose purification-aware live memory state or end-to-end distributed optimality.","openalex","purification-memory-routing-audit; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Efficient entanglement purification based on noise guessing decoding","openalex:W4402644877","2024-09","OpenAlex","architectural_operator_substitution","Reduce pair cost and improve yield of a purification protocol.","Protocol efficiency does not model concurrent request-level bundle allocation or stranded claims.","openalex","teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Efficient Entanglement Routing for Satellite-Aerial-Terrestrial Quantum Networks","openalex:W4413823864","2025-08","","decompose_and_delegate; heterogeneous_decomposition; reframe_as_solvable_object","Time-varying heterogeneous links require joint path selection and generation-rate allocation under fidelity constraints.","Benders decomposition assumes an optimization model is available at decision time and does not address online posterior calibration or rapid resource expiration.","openalex","quantum-network-routing-innovation"
"边界资料：纯化/物理/应用","Efficient Entanglement Swapping in Quantum Networks for Multi-User Scenarios","openalex:W4411162370","2025-06","Entropy; OpenAlex","decompose_and_delegate; generative_process_redesign; heterogeneous_decomposition","Reducing sequential-swap latency and multi-user contention through parallel path segmentation, triggers, and resource locking.","The simulation does not establish formal execution safety or rollback under failed swaps, stale locks, decoherence, and concurrent interleavings.","openalex","logical-swap-execution-gap_2; teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Enhancing Entanglement Purification with Shared Randomness","arxiv:2607.21555v1","2026-07","arXiv","reframe_as_solvable_object; unify_into_shared_representation","Buffering and shuffling heterogeneous sources before purification.","Source-label mixing and protocol performance; no route-level peak slot certificate.","arxiv","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Entanglement buffering with multiple quantum memories","openalex:W4416150624","2025-02","arXiv","characterize_limit_then_surpass; reframe_as_solvable_object","Multiple short-lived memories plus a long-lived memory for purification and consumption.","Two-node buffer metrics do not model concurrent routed requests or multi-link coupled memory frontiers.","openalex","teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Entanglement buffering with two quantum memories","openalex:W4402192716","2024-09","OpenAlex; Quantum","assumption_audit_and_pivot; heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","Quantifying availability and consumed-fidelity trade-offs when stored entanglement decoheres, is consumed, and is purified in dual-memory buffers.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; purification-memory-routing-audit; request-salvage-routing; teleportation-purification-bundle-gap; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Entanglement percolation in random quantum networks","arxiv:2602.10189v2","2026-02","arXiv","assumption_audit_and_pivot; characterize_limit_then_surpass; reframe_as_solvable_object; structural_prior_encoding","Optimizes entanglement routing, distribution, or resource allocation under network constraints.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv","logical-memory-deadlock-drl_2; quantum-routing-scenario-gap_2; request-salvage-routing; single-teleportation-routing-gap-audit_3"
"边界资料：纯化/物理/应用","Entanglement Purification With Finite Latency Classical Communication in Quantum Networks","openalex:W7080691987","2025-09","OpenAlex; arXiv","assumption_audit_and_pivot; reframe_as_solvable_object","Classical coordination latency can erase purification gains; resource overhead and break-even regions matter.","Physical latency analysis does not specify scheduler behavior when only part of a multi-pair purification bundle is held.","openalex","request-salvage-routing; teleportation-purification-bundle-gap; teleportation-purification-memory-gap"
"边界资料：纯化/物理/应用","Entanglement Request Scheduling in Quantum Datacenter Networks","openalex:W4406728134","2025-01","IEEE Network; OpenAlex","decompose_and_delegate; reframe_as_solvable_object; structural_prior_encoding","Known entanglement demand schedules must be converted into resource allocation and switch execution plans.","Compilation-time demand scheduling does not address online partial purification claims or reclaiming stranded auxiliary pairs.","openalex","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; teleportation-purification-bundle-gap"
"边界资料：纯化/物理/应用","Entanglement Routing in Quantum Networks: A Comprehensive Survey","openalex:W4407360708","2025-01","IEEE Transactions on Quantum Engineering","outside_taxonomy","Entanglement routing must jointly consider fidelity, probabilistic swaps, memory lifetime, and network-state information.","The survey taxonomy does not provide a route-selection mechanism that explicitly values information uncertainty or counterfactual resource opportunity cost.","openalex","quantum-network-routing-innovation"
"边界资料：纯化/物理/应用","Entanglement-assisted circuit knitting: Distributed quantum computing using limited entanglement resources","arxiv:2510.26789v3","2025-10","arXiv","assumption_audit_and_pivot; heterogeneous_decomposition; reframe_as_solvable_object","trade-off between entanglement use and classical sampling for distributed circuits","optimizes a known circuit decomposition, not online routing of measurement-dependent entanglement tasks","user_ref","quantum-routing-scenario-gap_2"
"边界资料：纯化/物理/应用","Entanglement-Efficient Distribution of Quantum Circuits over Large-Scale Quantum Networks","arxiv:2507.16036v2","2025-07","arXiv","reframe_as_solvable_object; structural_prior_encoding","topology-aware static partitioning of distributed quantum circuits to reduce entanglement cost","circuit partition and communication demand are fixed before execution; measurement-conditioned future requests and cancellation are absent","user_ref","quantum-routing-scenario-gap_2"
"边界资料：纯化/物理/应用","Entanglement-Reusable Dynamic Routing for Quantum Networks","semanticscholar:cb1d4d8a634c08cb0456b886fd0c8448f1ac232c","2025-01","IEEE International Conference on Consumer Electronics","`assumption_audit_and_pivot`; br>`heterogeneous_decomposition`","Contention-free exclusive path assignment leaves reusable entanglement capacity idle and restricts throughput.","Multiple assignment can create correlated contention and inconsistent reservations; fairness, distributed state, decoherence, and rollback after failed reuse are not resolved.","semanticscholar","teleportation-routing-rollback-gap"
